ticker,description,sector
ALMU,AELUMA INC COM,Unlabeled
GLUC,GLUCOSE HEALTH INC COM,Unlabeled
RGBP,REGEN BIOPHARMA INC COM,Unlabeled
TLPH,TALPHERA INC COM,Unlabeled
UNRVD,BLUM HOLDINGS INC COM,Unlabeled
VPAHF,VOLPARA HEALTH TECH LTD COM,Unlabeled
WXIBF,WUXI BIOLOGICS (CAYMAN) INC COM,Unlabeled
ZHYBF,ZHONG YUAN BIO TECHNOLOGY HLDG COM,Unlabeled
ZLDAF,ZELIRA THERAPEUTICS LTD COM,Unlabeled
AEMD,AETHLON MEDICAL INC COM,Health Care Equipment & Supplies
APYX,APYX MEDICAL CORPORATION COM,Health Care Equipment & Supplies
ARAY,ACCURAY INCORPORATED COM,Health Care Equipment & Supplies
AVGR,AVINGER INC COM,Health Care Equipment & Supplies
AXDX,ACCELERATE DIAGNOSTICS INC COM,Health Care Equipment & Supplies
BEAT,HEARTBEAM INC COM,Health Care Equipment & Supplies
BFLY,BUTTERFLY NETWORK INC COM CL A,Health Care Equipment & Supplies
BIOL,BIOLASE INC COM,Health Care Equipment & Supplies
BJDX,BLUEJAY DIAGNOSTICS INC COM,Health Care Equipment & Supplies
BMRA,BIOMERICA INC COM,Health Care Equipment & Supplies
CHEK,CHECK-CAP LTD COM,Health Care Equipment & Supplies
COCH,ENVOY MEDICAL INC COM CL A,Health Care Equipment & Supplies
CODX,CO DIAGNOSTICS INC COM,Health Care Equipment & Supplies
CTSO,CYTOSORBENTS CORP COM,Health Care Equipment & Supplies
CUTR,CUTERA INC COM,Health Care Equipment & Supplies
DCTH,DELCATH SYSTEMS INC COM,Health Care Equipment & Supplies
DRTS,ALPHA TAU MEDICAL LTD COM,Health Care Equipment & Supplies
DYNT,DYNATRONICS CORP COM,Health Care Equipment & Supplies
EAR,EARGO INC COM,Health Care Equipment & Supplies
EKSO,EKSO BIONICS HOLDINGS INC COM,Health Care Equipment & Supplies
EMITF,ELBIT IMAGING LTD COM,Health Care Equipment & Supplies
FEMY,FEMASYS INC COM,Health Care Equipment & Supplies
HYPR,HYPERFINE INC COM CL A,Health Care Equipment & Supplies
ICCM,ICECURE MEDICAL LTD CAESAREA COM,Health Care Equipment & Supplies
ICU,SEASTAR MED HL COM,Health Care Equipment & Supplies
IINN,INSPIRA TECHNOLOGIES COM,Health Care Equipment & Supplies
INVO,INVO BIO SCIENCE INC COM,Health Care Equipment & Supplies
IRIX,IRIDEX CORP COM,Health Care Equipment & Supplies
KRMD,KORU MEDICAL SYSTEMS INC COM,Health Care Equipment & Supplies
LGMK,LOGICMARK INC COM,Health Care Equipment & Supplies
LNSR,LENSAR INC COM,Health Care Equipment & Supplies
LUCD,LUCID DIAGNOSTICS INC COM,Health Care Equipment & Supplies
MBOT,MICROBOT MEDICAL INC COM,Health Care Equipment & Supplies
MDAI,SPECTRAL AI INC COM CL A,Health Care Equipment & Supplies
MDGS,MEDIGUS ADR,Health Care Equipment & Supplies
MGRM,MONOGRAM ORTHOPAEDICS INC COM,Health Care Equipment & Supplies
MLSS,MILESTONE SCIENTIFIC INC COM,Health Care Equipment & Supplies
MODD,MODULAR MEDICAL INC COM,Health Care Equipment & Supplies
MOTS,MOTUS GI HOLDINGS INC COM,Health Care Equipment & Supplies
MYO,MYOMO INC COM,Health Care Equipment & Supplies
NAOV,NANOVIBRONIX INC COM,Health Care Equipment & Supplies
NDRA,ENDRA LIFE SCIENCES INC COM,Health Care Equipment & Supplies
NMTC,NEUROONE MEDICAL TECH CORP COM,Health Care Equipment & Supplies
NRXS,NEURAXIS INC COM,Health Care Equipment & Supplies
NURO,NEUROMETRIX INC COM,Health Care Equipment & Supplies
NVIV,INVIVO THERA HLDGS COM,Health Care Equipment & Supplies
NVNO,ENVVENO MEDICAL CORP COM,Health Care Equipment & Supplies
OM,OUTSET MEDICAL INC COM,Health Care Equipment & Supplies
OSA,PROSOMNUS INC COM,Health Care Equipment & Supplies
PAVM,PAVMED INC COM,Health Care Equipment & Supplies
PETV,PETVIVO HLDGS INC COM,Health Care Equipment & Supplies
POAI,PREDICTIVE ONCOLOGY INC COM,Health Care Equipment & Supplies
POSC,POSITRON CORP COM,Health Care Equipment & Supplies
RWLK,REWALK ROBOTICS LTD COM,Health Care Equipment & Supplies
SCND,SCIENTIFIC INDUSTRIES INC COM,Health Care Equipment & Supplies
SENS,SENSEONICS HOLDINGS INC COM,Health Care Equipment & Supplies
SGHT,SIGHT SCIENCES INC COM,Health Care Equipment & Supplies
SRTS,SENSUS HEALTHCARE INC COM,Health Care Equipment & Supplies
SSII,SS INNOVATIONS INTERNATIONAL COM,Health Care Equipment & Supplies
SSKN,STRATA SKIN SCIENCES INC COM,Health Care Equipment & Supplies
STIM,NEURONETICS INC COM,Health Care Equipment & Supplies
STXS,STEREOTAXIS INC COM,Health Care Equipment & Supplies
TIVC,TIVIC HEALTH SYSTEMS INC COM,Health Care Equipment & Supplies
TNON,TENON MEDICAL INC COM,Health Care Equipment & Supplies
UTRS,MINERVA SURGICAL INC COM,Health Care Equipment & Supplies
VANI,VIVANI MEDICAL COM,Health Care Equipment & Supplies
VAPO,VAPOTHERM INC COM,Health Care Equipment & Supplies
VERO,VENUS CONCEPT INC COM,Health Care Equipment & Supplies
VTAK,CATHETER PRECISION INC COM,Health Care Equipment & Supplies
XAIR,BEYOND AIR INC COM,Health Care Equipment & Supplies
ARTH,ARCH THERAPEUTICS INC COM,Health Care Equipment & Supplies
BVS,BIOVENTUS INC COM CL A,Health Care Equipment & Supplies
CERS,CERUS CORP COM,Health Care Equipment & Supplies
MHUA,MEIHUA INTL MED TECHNOLOGIES COM,Health Care Equipment & Supplies
NSPR,INSPIREMD INC COM,Health Care Equipment & Supplies
NXGL,NEXGEL INC COM,Health Care Equipment & Supplies
RMTI,ROCKWELL MEDICAL INC COM,Health Care Equipment & Supplies
RVP,RETRACTABLE TECHNOLOGIES INC COM,Health Care Equipment & Supplies
SHWGY,SHANDONG WEIGAO GROUP MEDICAL ADR UNSPONSORED,Health Care Equipment & Supplies
SIEN,SIENTRA INC COM,Health Care Equipment & Supplies
VNRX,VOLITIONRX LIMITED COM,Health Care Equipment & Supplies
XTNT,XTANT MEDICAL HLDGS INC COM,Health Care Equipment & Supplies
ZTEK,ZENTEK LTD COM,Health Care Equipment & Supplies
AHG,AKSO HEALTH GROUP ADR,Health Care Providers & Services
BIMI,BIMI INTERNATIONAL MEDICAL INC COM,Health Care Providers & Services
COSM,COSMOS HEALTH INC COM,Health Care Providers & Services
GEG,GREAT ELM GROUP INC COM,Health Care Providers & Services
VRAX,VIRAX BIOLABS GROUP LTD COM,Health Care Providers & Services
AIH,AESTHETIC MEDICAL INTL HLDGS G ADR,Health Care Providers & Services
AMS,AMER SHARED HOSPITAL SERVICES COM,Health Care Providers & Services
AVAH,AVEANNA HEALTHCARE HLDGS INC COM,Health Care Providers & Services
BDSX,BIODESIX INC COM,Health Care Providers & Services
CCM,CONCORD MEDICAL SE ADR SPONSORED,Health Care Providers & Services
CLRD,CLEARDAY INC COM,Health Care Providers & Services
CNTG,CENTOGENE NV COM,Health Care Providers & Services
CORBF,GLOBAL CORD BLOOD CORPORATION COM,Health Care Providers & Services
DCGO,DOCGO INC COM,Health Care Providers & Services
ENZ,ENZO BIOCHEM INC COM,Health Care Providers & Services
EUDA,EUDA HEALTH HLDGS COM,Health Care Providers & Services
HWAIF,HEALWELL AI INC COM CL A,Health Care Providers & Services
IDXG,INTERPACE BIOSCIENCES INC COM,Health Care Providers & Services
LIFW,MSP RECOVERY INC COM CL A,Health Care Providers & Services
ME,23ANDME HLDG CO COM,Health Care Providers & Services
NVOS,NOVO INTEGRATED SCIENCES INC COM,Health Care Providers & Services
